2025-05-10 18:06:30,447 - Packet #265 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:30,482 - Packet #266 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:30,483 - Packet #267 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:30,541 - Packet #268 | Source: 192.168.215.81:60333 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:30,708 - Packet #290 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:30,761 - Packet #292 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:30,774 - Packet #293 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60323 | Protocol: TCP
2025-05-10 18:06:30,777 - Packet #294 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60324 | Protocol: TCP
2025-05-10 18:06:30,794 - Packet #296 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60333 | Protocol: TCP
2025-05-10 18:06:30,811 - Packet #305 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60325 | Protocol: TCP
2025-05-10 18:06:30,817 - Packet #306 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60326 | Protocol: TCP
2025-05-10 18:06:30,886 - Packet #321 | Source: 192.168.215.81:50436 | Destination: 192.168.215.225:53 | Protocol: UDP
2025-05-10 18:06:30,899 - Packet #322 | Source: 192.168.215.81:55096 | Destination: 192.168.215.225:53 | Protocol: UDP
2025-05-10 18:06:30,949 - Packet #328 | Source: 192.168.215.225:53 | Destination: 192.168.215.81:50436 | Protocol: UDP
2025-05-10 18:06:30,987 - Packet #332 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,018 - Packet #333 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,020 - Packet #334 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,022 - Packet #335 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,046 - Packet #337 | Source: 192.168.215.225:53 | Destination: 192.168.215.81:55096 | Protocol: UDP
2025-05-10 18:06:31,052 - Packet #340 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,071 - Packet #341 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,071 - Packet #342 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,072 - Packet #343 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,072 - Packet #344 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,072 - Packet #345 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,073 - Packet #346 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,074 - Packet #347 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,074 - Packet #348 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,079 - Packet #352 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,080 - Packet #353 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,080 - Packet #354 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,081 - Packet #355 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,116 - Packet #356 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,132 - Packet #360 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,137 - Packet #361 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,340 - Packet #368 | Source: 54.196.118.119:443 | Destination: 192.168.215.81:60331 | Protocol: TCP
2025-05-10 18:06:31,343 - Packet #372 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,344 - Packet #373 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,345 - Packet #374 | Source: 104.18.18.125:443 | Destination: 192.168.215.81:60335 | Protocol: TCP
2025-05-10 18:06:31,346 - Packet #377 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,353 - Packet #380 | Source: 192.168.215.81:60336 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,355 - Packet #381 | Source: 192.168.215.81:60337 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,399 - Packet #382 | Source: 192.168.215.81:60335 | Destination: 104.18.18.125:443 | Protocol: TCP
2025-05-10 18:06:31,448 - Packet #383 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:31,491 - Packet #384 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:31,505 - Packet #386 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:31,534 - Packet #387 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:31,535 - Packet #388 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:31,547 - Packet #392 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:31,587 - Packet #399 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60336 | Protocol: TCP
2025-05-10 18:06:31,590 - Packet #401 | Source: 192.168.215.81:60336 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,591 - Packet #402 | Source: 192.168.215.81:60336 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,591 - Packet #403 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60337 | Protocol: TCP
2025-05-10 18:06:31,616 - Packet #404 | Source: 192.168.215.81:60337 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,617 - Packet #405 | Source: 192.168.215.81:60337 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,735 - Packet #415 | Source: 104.18.19.125:443 | Destination: 192.168.215.81:59962 | Protocol: TCP
2025-05-10 18:06:31,775 - Packet #417 | Source: 192.168.215.81:59962 | Destination: 104.18.19.125:443 | Protocol: TCP
2025-05-10 18:06:31,810 - Packet #420 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60333 | Protocol: TCP
2025-05-10 18:06:31,821 - Packet #422 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60336 | Protocol: TCP
2025-05-10 18:06:31,824 - Packet #423 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60337 | Protocol: TCP
2025-05-10 18:06:31,824 - Packet #424 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60336 | Protocol: TCP
2025-05-10 18:06:31,825 - Packet #425 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60336 | Protocol: TCP
2025-05-10 18:06:31,825 - Packet #426 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60336 | Protocol: TCP
2025-05-10 18:06:31,826 - Packet #427 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60337 | Protocol: TCP
2025-05-10 18:06:31,826 - Packet #428 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60336 | Protocol: TCP
2025-05-10 18:06:31,827 - Packet #429 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60337 | Protocol: TCP
2025-05-10 18:06:31,827 - Packet #430 | Source: 192.168.215.81:60336 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,844 - Packet #431 | Source: 192.168.215.81:60336 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,844 - Packet #432 | Source: 192.168.215.81:60337 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,845 - Packet #433 | Source: 192.168.215.81:60336 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,845 - Packet #434 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60337 | Protocol: TCP
2025-05-10 18:06:31,846 - Packet #435 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60337 | Protocol: TCP
2025-05-10 18:06:31,846 - Packet #436 | Source: 192.168.215.81:60337 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:31,847 - Packet #437 | Source: 192.168.215.81:60337 | Destination: 34.238.237.55:443 | Protocol: TCP
2025-05-10 18:06:32,072 - Packet #457 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60336 | Protocol: TCP
2025-05-10 18:06:32,073 - Packet #458 | Source: 34.238.237.55:443 | Destination: 192.168.215.81:60336 | Protocol: TCP
2025-05-10 18:06:32,074 - Packet #459 | Source: 192.168.215.81:60336 | Destination: 34.238.237.55:443 | Protocol: TCP
